Table_A,Column_A,Table_B,Column_B,label,result
StockItems,OuterPackageID,Cities,CityID,0,0
Colors_Archive,LastEditedBy,SupplierCategories,SupplierCategoryID,0,0
OrderLines,LastEditedBy,People,PersonID,1,1
StockItemStockGroups,StockItemID,Invoices,OrderID,0,0
Suppliers_Archive,AlternateContactPersonID,Invoices,InvoiceID,0,0
StateProvinces,LastEditedBy,People,PersonID,1,0
PurchaseOrders,ContactPersonID,People,PersonID,1,0
StockItems_Archive,LeadTimeDays,StockItems,StockItemID,0,0
StockItems,SupplierID,Suppliers,SupplierID,1,1
StockItems,OuterPackageID,PackageTypes,PackageTypeID,1,0
StockItems_Archive,UnitPackageID,Suppliers,SupplierID,0,0
OrderLines,PackageTypeID,StockGroups,StockGroupID,0,0
SupplierTransactions,TransactionTypeID,Orders,OrderID,0,0
People,LastEditedBy,CustomerCategories_Archive,LastEditedBy,0,0
OrderLines,PackageTypeID,PackageTypes,PackageTypeID,1,1
Countries_Archive,IsoNumericCode,Orders,OrderID,0,0
BuyingGroups,BuyingGroupID,SpecialDeals,BuyingGroupID,0,1
SpecialDeals,BuyingGroupID,BuyingGroups,BuyingGroupID,1,0
StockItems,LastEditedBy,CustomerCategories_Archive,LastEditedBy,0,0
Customers,PrimaryContactPersonID,People,PersonID,1,1
StockItems,OuterPackageID,PurchaseOrderLines,PurchaseOrderLineID,0,0
SystemParameters,PostalCityID,Cities,CityID,1,0
SupplierTransactions,PaymentMethodID,PaymentMethods,PaymentMethodID,1,0
PaymentMethods_Archive,LastEditedBy,CustomerCategories_Archive,LastEditedBy,0,0
InvoiceLines,PackageTypeID,PackageTypes,PackageTypeID,1,1
Suppliers,DeliveryMethodID,DeliveryMethods,DeliveryMethodID,1,0
SupplierCategories_Archive,LastEditedBy,StockGroups_Archive,LastEditedBy,0,0
DeliveryMethods_Archive,LastEditedBy,SystemParameters,SystemParameterID,0,0
Orders,LastEditedBy,People,PersonID,1,0
Suppliers,DeliveryCityID,Cities,CityID,1,0
StockItems,StockItemID,StockItemStockGroups,StockItemStockGroupID,0,0
CustomerTransactions,LastEditedBy,People,PersonID,1,0
CustomerTransactions,CustomerID,Customers,CustomerID,1,1
SupplierCategories,LastEditedBy,People,PersonID,1,0
StockItemHoldings,LastEditedBy,People,PersonID,1,0
Suppliers_Archive,DeliveryMethodID,PurchaseOrders,PurchaseOrderID,0,0
Invoices,BillToCustomerID,Customers,CustomerID,1,0
Customers,PostalCityID,Cities,CityID,1,0
CustomerCategories,LastEditedBy,PurchaseOrderLines,PurchaseOrderLineID,0,0
StockItemStockGroups,StockGroupID,Orders,OrderID,0,0
StockItems,UnitPackageID,PackageTypes,PackageTypeID,1,0
SupplierCategories,LastEditedBy,OrderLines,OrderLineID,0,0
Cities_Archive,LastEditedBy,PurchaseOrders,PurchaseOrderID,0,0
SystemParameters,LastEditedBy,SystemParameters,SystemParameterID,0,0
Suppliers,PrimaryContactPersonID,People,PersonID,1,0
StateProvinces,CountryID,Countries,CountryID,1,0
StockGroups,LastEditedBy,People,PersonID,1,0
StockItemTransactions,TransactionTypeID,TransactionTypes,TransactionTypeID,1,1
Suppliers,LastEditedBy,Invoices,OrderID,0,0
BuyingGroups,BuyingGroupID,People,PersonID,0,0
Invoices,ContactPersonID,People,PersonID,1,0
Customers_Archive,PaymentDays,TransactionTypes,TransactionTypeID,0,0
Customers,PrimaryContactPersonID,Invoices,InvoiceID,0,0
StockGroups_Archive,ValidFrom,SystemParameters,LastEditedWhen,0,0
SystemParameters,SystemParameterID,Orders,OrderID,0,0
PurchaseOrders,LastEditedBy,People,PersonID,1,0
PackageTypes,LastEditedBy,People,PersonID,1,1
CustomerTransactions,TransactionTypeID,Customers,CustomerID,0,0
SupplierCategories_Archive,LastEditedBy,Colors_Archive,LastEditedBy,0,0
Customers,AlternateContactPersonID,People,PersonID,1,0
PurchaseOrderLines,Description,StockItems,StockItemName,0,0
Customers,DeliveryMethodID,DeliveryMethods,DeliveryMethodID,1,1
SpecialDeals,LastEditedBy,People,PersonID,1,0
OrderLines,OrderID,Orders,OrderID,1,0
Invoices,OrderID,Orders,OrderID,1,1
PackageTypes,LastEditedBy,TransactionTypes,TransactionTypeID,0,0
SupplierTransactions,TransactionTypeID,TransactionTypes,TransactionTypeID,1,1
TransactionTypes,LastEditedBy,People,PersonID,1,0
CustomerCategories_Archive,LastEditedBy,Customers,CustomerID,0,0
StockItems_Archive,LastEditedBy,StockItemHoldings,StockItemID,0,0
Countries,LastEditedBy,People,PersonID,1,1
OrderLines,StockItemID,StockItems,StockItemID,1,1
Invoices,PackedByPersonID,People,PersonID,1,0
SupplierTransactions,LastEditedBy,People,PersonID,1,0
StockItems,OuterPackageID,PurchaseOrders,PurchaseOrderID,0,0
CustomerTransactions,TransactionTypeID,Suppliers_Archive,SupplierID,0,0
StockItemTransactions,CustomerID,Customers,CustomerID,1,0
CustomerCategories,LastEditedBy,People,PersonID,1,1
PaymentMethods_Archive,LastEditedBy,SpecialDeals,BuyingGroupID,0,0
Suppliers_Archive,PrimaryContactPersonID,Suppliers,PrimaryContactPersonID,0,0
Customers_Archive,CustomerCategoryID,PurchaseOrders,PurchaseOrderID,0,0
SpecialDeals,LastEditedBy,StockItemHoldings,StockItemID,0,0
Invoices,LastEditedBy,People,PersonID,1,0
PurchaseOrderLines,PurchaseOrderID,PurchaseOrders,PurchaseOrderID,1,1
Customers_Archive,DeliveryRun,TransactionTypes,TransactionTypeName,0,0
Orders,ContactPersonID,People,PersonID,1,0
SupplierTransactions,TransactionTypeID,Customers,CustomerID,0,0
SupplierTransactions,SupplierID,Suppliers,SupplierID,1,1
StockItemTransactions,LastEditedBy,People,PersonID,1,0
SpecialDeals,StockGroupID,StockGroups,StockGroupID,1,1
StockItems,LastEditedBy,People,PersonID,1,0
PurchaseOrderLines,PackageTypeID,PackageTypes,PackageTypeID,1,0
TransactionTypes,LastEditedBy,DeliveryMethods,DeliveryMethodID,0,0
StockItems,OuterPackageID,Customers,CustomerID,0,0
SystemParameters,DeliveryCityID,Cities,CityID,1,0
TransactionTypes,TransactionTypeID,OrderLines,OrderLineID,0,0
Suppliers,LastEditedBy,StockItemTransactions,StockItemTransactionID,0,0
CustomerTransactions,PaymentMethodID,PaymentMethods,PaymentMethodID,1,1
Cities,StateProvinceID,StateProvinces,StateProvinceID,1,1
Customers_Archive,DeliveryRun,SupplierCategories,SupplierCategoryName,0,0
Suppliers,PrimaryContactPersonID,Invoices,OrderID,0,0
Suppliers_Archive,PostalAddressLine2,Suppliers,PostalAddressLine2,0,0
Suppliers_Archive,LastEditedBy,TransactionTypes,TransactionTypeID,0,0
Colors_Archive,LastEditedBy,People,PersonID,0,0
Suppliers,SupplierCategoryID,DeliveryMethods,DeliveryMethodID,0,0
StockItemTransactions,SupplierID,Suppliers,SupplierID,1,1
PurchaseOrders,DeliveryMethodID,DeliveryMethods,DeliveryMethodID,1,0
Customers,DeliveryRun,TransactionTypes,TransactionTypeName,0,0
Customers,LastEditedBy,InvoiceLines,InvoiceLineID,0,0
Orders,PickedByPersonID,People,PersonID,1,0
SystemParameters,LastEditedBy,People,PersonID,1,0
VehicleTemperatures,ChillerSensorNumber,StateProvinces,StateProvinceID,0,0
Cities,LastEditedBy,People,PersonID,1,1
StockItems,OuterPackageID,StockItems,StockItemID,0,0
Customers_Archive,RunPosition,Customers,DeliveryAddressLine2,0,0
StockItems,LastEditedBy,SystemParameters,SystemParameterID,0,0
